 Time:12:26.219 N:5923 E:0 F:0 I:0
  TTreeEditE2Test Time:01.089 N:7 E:0 F:0 I:0
  TTreeEditE3Test Time:00.694 N:4 E:0 F:0 I:0
  TTreeEditE4Test Time:02.142 N:9 E:0 F:0 I:0
  TTreeEditE5ThemeTest Time:00.141 N:1 E:0 F:0 I:0
  TTreeEditFix1Test Time:00.588 N:3 E:0 F:0 I:0
  TTreeCheckCaptionXTest Time:00.895 N:5 E:0 F:0 I:0
  TTreeDragF1Test Time:00.000 N:18 E:0 F:0 I:0
  TTreeDragF2Test Time:01.427 N:12 E:0 F:0 I:0
  TTreeDragF3Test Time:00.556 N:5 E:0 F:0 I:0
  TDialogButtonBarTest Time:00.000 N:3 E:0 F:0 I:0
  TMsgMappingTest Time:00.000 N:6 E:0 F:0 I:0
  TDialogBaseTest Time:00.047 N:3 E:0 F:0 I:0
  TMessageBuildTest Time:00.172 N:6 E:0 F:0 I:0
  TDialogResizeTest Time:00.016 N:2 E:0 F:0 I:0
  TInputDialogTest Time:00.062 N:2 E:0 F:0 I:0
  TPasswordDialogTest Time:00.033 N:1 E:0 F:0 I:0
  TTextDialogTest Time:00.124 N:3 E:0 F:0 I:0
  TSelectValueTest Time:00.063 N:2 E:0 F:0 I:0
  TDialogEventForwardTest Time:00.017 N:2 E:0 F:0 I:0
  TDialogChromeTest Time:00.151 N:4 E:0 F:0 I:0
  TSelectPathFsTest Time:00.016 N:2 E:0 F:0 I:0
  TSelectPathBuildTest Time:00.600 N:5 E:0 F:0 I:0
  TColorMathTest Time:00.000 N:6 E:0 F:0 I:0
  TColorControlsTest Time:00.000 N:1 E:0 F:0 I:0
  TColorDialogTest Time:00.210 N:3 E:0 F:0 I:0
  TColorPickerStateTest Time:00.903 N:5 E:0 F:0 I:0
  TColorSwatchGridTest Time:00.752 N:5 E:0 F:0 I:0
  TFontMapTest Time:00.000 N:1 E:0 F:0 I:0
  TFontDialogTest Time:00.397 N:2 E:0 F:0 I:0
  TFontPreviewTest Time:00.407 N:3 E:0 F:0 I:0
  TFindMapTest Time:00.000 N:5 E:0 F:0 I:0
  TFindWiringTest Time:00.319 N:3 E:0 F:0 I:0
  TReplaceWiringTest Time:00.701 N:6 E:0 F:0 I:0
  TFindEventForwardTest Time:00.198 N:2 E:0 F:0 I:0
  TProgressLogicTest Time:00.000 N:6 E:0 F:0 I:0
  TProgressEventForwardTest Time:00.000 N:1 E:0 F:0 I:0
  TAboutDialogTest Time:00.109 N:3 E:0 F:0 I:0
  TGaugeTest Time:00.000 N:3 E:0 F:0 I:0
  TCircularProgressTest Time:00.000 N:2 E:0 F:0 I:0
  TActivityIndicatorTest Time:00.000 N:2 E:0 F:0 I:0
  TActivityBarTest Time:00.000 N:3 E:0 F:0 I:0
  TMeterTest Time:00.000 N:1 E:0 F:0 I:0
  TLevelMeterTest Time:00.000 N:3 E:0 F:0 I:0
  TDialTest Time:00.000 N:5 E:0 F:0 I:0
  TAnalogClockTest Time:00.000 N:3 E:0 F:0 I:0
  TSparklineTest Time:00.000 N:5 E:0 F:0 I:0
  TRatingTest Time:00.000 N:7 E:0 F:0 I:0
  TGearActivityIndicatorTest Time:00.000 N:2 E:0 F:0 I:0
  TUpDownTest Time:00.000 N:7 E:0 F:0 I:0
  TGearDialTest Time:00.000 N:4 E:0 F:0 I:0
  TLinkLabelTest Time:00.391 N:7 E:0 F:0 I:0
  TShadowLabelTest Time:00.463 N:6 E:0 F:0 I:0
  TGlowLabelTest Time:00.418 N:7 E:0 F:0 I:0
